URL,Video_ID,Username,Views,Thumbnail,Post_Date,Crawl_Date,Date_Text,Description,Hashtags,Music,Likes,Comments,Shares,Saves
https://www.tiktok.com/@somethincofficial/video/7475601266777853191,7475601266777853191,somethincofficial,358.1K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ogHq8EAcjIAM2Ae9AiAmQqIeeeiFNSMgwGaMeL?lk3s=81f88b70&x-expires=1742025600&x-signature=dS2YWKI67ZQAMOs%2BnL92GLsgk9s%3D&shp=81f88b70&shcp=-,2025-02-26,2025-03-13 16:34:49,2-26,Tim Bibir Glossy tapi males retouch? Cobain Lip Glaze ini deh!👀💋 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",original sound  - Somethinc Official,1131,43,55,108
https://www.tiktok.com/@somethincofficial/video/7475387593455144197,7475387593455144197,somethincofficial,14.1K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMzAEi9b2BsEvAiI5g3ISW0AA3CEodfCpS6Bir?lk3s=81f88b70&x-expires=1742025600&x-signature=6RLWeW9FTYfDGYeXBQRDK6If1Jo%3D&shp=81f88b70&shcp=-,2025-02-25,2025-03-13 16:35:24,2-25,Minthinc gak akan close close itu foto ☝️🥰 #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",Relaxed (Sped Up) - MC Mablo Dos Paredões,126,6,16,7
https://www.tiktok.com/@somethincofficial/video/7475386421474282758,7475386421474282758,somethincofficial,6786,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-25,2025-03-13 16:35:57,2-25,Beli sendiri 🫵🫵🫵 #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",original sound - 🤠🤠,35,3,4,6
https://www.tiktok.com/@somethincofficial/video/7475365670998265106,7475365670998265106,somethincofficial,244K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-25,2025-03-13 16:36:28,2-25,"Kiss-proof, smudge-proof, worry-proof! Which shade is your fave? Drop your answer in the comments! ⬇️💋 #Somethinc  #PakaiSomethinc  ","#Somethinc , #PakaiSomethinc ",sonido original - JEI AM MUSIC,539,26,38,77
https://www.tiktok.com/@somethincofficial/video/7475347402346515720,7475347402346515720,somethincofficial,271.1K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-25,2025-03-13 16:37:01,2-25,Highly pigmented & extremely comfortable! Somethinc knows what you need!🫦✨ #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",suara asli - ᴘᴛʀᴀ ft 𝗔𝗣 - ≠ptranofps,824,10,23,46
https://www.tiktok.com/@somethincofficial/video/7475306635137764625,7475306635137764625,somethincofficial,18.7K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-25,2025-03-13 16:37:33,2-25,Sama-sama jerawat tapi apa sih bedanya Breakout dengan Purging? Tonton sampai habis!😍 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",Kyoto City Night - SPEARS69 & Satria Petir & Eko Ardian,75,9,19,17
https://www.tiktok.com/@somethincofficial/video/7475305101675056391,7475305101675056391,somethincofficial,244.4K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-25,2025-03-13 16:38:06,2-25,Kalau bisa semuanya kenapa harus pilih satu? 👀💋 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",original sound  - Somethinc Official,1197,49,34,163
https://www.tiktok.com/@somethincofficial/video/7475256730868256016,7475256730868256016,somethincofficial,14.2K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-25,2025-03-13 16:38:37,2-25,"Cium kertas ganteng, kira-kira transfer gak yaaa?!😭🔥 #Somethinc  #PakaiSomethinc  ","#Somethinc , #PakaiSomethinc ",original sound - Somethinc Official,139,12,8,17
https://www.tiktok.com/@somethincofficial/video/7474991785186528520,7474991785186528520,somethincofficial,114.6K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-24,2025-03-13 16:39:10,2-24,"YES, IT’S HERE! 💄 Forever Stay Comfort Lip Glaze sudah bisa dicheckout di Official Toko Oren Somethinc💋 #Somethinc  #PakaiSomethinc  ","#Somethinc , #PakaiSomethinc ",original sound - haniaପଓ,693,29,19,52
https://www.tiktok.com/@somethincofficial/video/7474986163594464530,7474986163594464530,somethincofficial,111.1K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-24,2025-03-13 16:39:41,2-24,Dark lips & two toned? No problem! Forever Stay Comfort Lip Glaze is finally here✨💜 #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",suara asli  - astrooo🪐,588,36,30,80
https://www.tiktok.com/@somethincofficial/video/7474954436440362258,7474954436440362258,somethincofficial,137.8K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-24,2025-03-13 16:40:14,2-24,Calm Down Moisturizer bisa apa aja sih?👀🤔 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",Relaxed (Sped Up) - MC Mablo Dos Paredões,269,12,31,46
https://www.tiktok.com/@somethincofficial/video/7474953379710749970,7474953379710749970,somethincofficial,107.8K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/o4AA4F9C6vEQDvwARfxCFSEggUEeBFAQwn36II?lk3s=81f88b70&x-expires=1742025600&x-signature=YJpSilL0QmY697t3%2Bz45dS3pEaU%3D&shp=81f88b70&shcp=-,2025-02-24,2025-03-13 16:40:46,2-24,"Dimana lagi kalian bisa nemuin Lip Glaze kayak gini?! Checkout Sekarang sih, keburu sold💋🙏🏻 #somethinc  #pakaisomethinc  ","#somethinc , #pakaisomethinc ",France Accordion Swing - MIZUSATO Masaki,1157,49,54,205
https://www.tiktok.com/@somethincofficial/video/7474950571363929350,7474950571363929350,somethincofficial,431.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/ogqKA4fIWpI58AfeAxAQMtsLQeFsRTiIKGeRAa?lk3s=81f88b70&x-expires=1742025600&x-signature=DT6wyB1Y0K6gP2cCoW%2FzSajFpA8%3D&shp=81f88b70&shcp=-,2025-02-24,2025-03-13 16:41:17,2-24,Emang boleh se GLOSSY & se STAY ini? 😍 #Somethinc  FOREVER STAY Comfort Lip Glaze 💋,#Somethinc ,Gwiyomi song - Hari,1546,56,218,722
https://www.tiktok.com/@somethincofficial/video/7474946342926781712,7474946342926781712,somethincofficial,369.6K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/o8hvZcCNAExIlYi7hAEiiOAI8S0A0A3vBBYWl?lk3s=81f88b70&x-expires=1742025600&x-signature=1adCsiYTJJXzN4DINivgPUhwJzY%3D&shp=81f88b70&shcp=-,2025-02-24,2025-03-13 16:41:48,2-24,Makan bar-bar tanpa perlu touch up lipstick?!😝💋 #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",original sound - Somethinc Official,1251,26,54,193
https://www.tiktok.com/@somethincofficial/video/7474944638219046160,7474944638219046160,somethincofficial,138K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oMAAaxIIEMAeZseeWVLg8rCSe27iKiArGSKMAf?lk3s=81f88b70&x-expires=1742025600&x-signature=d4tnItnIFaCH%2BbzZBzJWDhTNRp0%3D&shp=81f88b70&shcp=-,2025-02-24,2025-03-13 16:42:21,2-24,Beneran TRANSFERPROOF kan guys?!😝 Selamat deh minthinc! #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",Suns - Official Sound Studio,1091,24,26,80
https://www.tiktok.com/@somethincofficial/video/7474940716800609541,7474940716800609541,somethincofficial,264.9K,https://p16-sign-va.tiktokcdn.com/obj/tos-maliva-p-0068/oMvi3eK8IAzMGnAIAIeIA5RIUKeLELQtejXeAC?lk3s=81f88b70&x-expires=1742025600&x-signature=dTyjtGRAItNsXQqMNTjhT%2FwWqlM%3D&shp=81f88b70&shcp=-,2025-02-24,2025-03-13 16:42:52,2-24,Gimana? Masih takut/ragu ngga Squad? #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",som original  - ratomilton,502,17,23,93
https://www.tiktok.com/@somethincofficial/video/7474787947095526663,7474787947095526663,somethincofficial,171K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/owyArBZ7lYAEBizAViIXC63E2E7APBv6CArRI?lk3s=81f88b70&x-expires=1742025600&x-signature=HvG%2B7FedhRo1c3olUxB80BnKn94%3D&shp=81f88b70&shcp=-,2025-02-24,2025-03-13 16:43:26,2-24,Kenapa sih hal kaya gini aja harus bohong?! 😭 #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",I Dont Know Why Remix - ReyLimitless [ACRO],911,27,30,78
https://www.tiktok.com/@somethincofficial/video/7474458979402321159,7474458979402321159,somethincofficial,91.1K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oUpCAsafC6KnFBAoEzN5RnZDgEdEUoABafumIA?lk3s=81f88b70&x-expires=1742025600&x-signature=g8ebqQy1RLLz1wN%2B9ZriQ6dhbLw%3D&shp=81f88b70&shcp=-,2025-02-23,2025-03-13 16:44:41,2-23,Formula Lip Glaze beda dari yang lain? 👀🤔 #somethinc  #pakaisomethinc  ,"#somethinc , #pakaisomethinc ",Aesthetic Coffee - Febri Handika,970,35,18,63
https://www.tiktok.com/@somethincofficial/video/7474455974506515730,7474455974506515730,somethincofficial,83.9K,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/okEiiAZaScoAYUIyTFEAACv7BA6aiJBCm4lqI?lk3s=81f88b70&x-expires=1742025600&x-signature=baaAGGCs17K58%2Bca9DTDXR7NpCE%3D&shp=81f88b70&shcp=-,2025-02-23,2025-03-13 16:45:12,2-23,Lip glaze try-on + the ultimate transfer test! Which shade is your fave? 💋 #Somethinc  #PakaiSomethinc ,"#Somethinc , #PakaiSomethinc ",Écoute chérie - ★,438,23,22,40
https://www.tiktok.com/@somethincofficial/video/7474193451689495824,7474193451689495824,somethincofficial,74.1K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-22,2025-03-13 16:45:43,2-22,Shade mana nih yang jadi inceran kalian? Kasih tau minthinc dong🤩✨ #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",Suns - Official Sound Studio,634,44,20,49
https://www.tiktok.com/@somethincofficial/video/7474178236465827078,7474178236465827078,somethincofficial,136.3K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-22,2025-03-13 16:46:15,2-22,Glow up aja dulu 🫵🫵 #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",suara asli - JUAN JB ⚡,206,12,8,12
https://www.tiktok.com/@somethincofficial/video/7474176713858059575,7474176713858059575,somethincofficial,126.8K,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-02-22,2025-03-13 16:46:48,2-22,Kalian udah follow Somethinc belum Squad?? #Somethinc  #PakaiSomethinc  ,"#Somethinc , #PakaiSomethinc ",suara asli  - Template POV/CORE,489,12,25,26
